Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805",-29.765650,-51.196918,-90.000000,bottom
"C2","0.1u","C_0805",-20.240642,-31.551589,180.000000,bottom
"C3","0.1u","C_0805",-30.360963,-25.598459,90.000000,bottom
"C4","0.1u","C_0805",-42.267223,-38.695345,0.000000,bottom
"C5","10u","C_0805",-17.264077,-19.050016,180.000000,bottom
"C6","1u","C_0805",-25.598459,-25.598459,90.000000,bottom
"C7","0.1u","C_0805",-290.512744,-2.381252,-90.000000,bottom
"C8","0.1u","C_0805",-286.940866,-2.381252,-90.000000,bottom
"D1","D","D_0805",-39.885971,-10.715634,90.000000,bottom
"D2","D","D_0805",-36.314093,-10.715634,90.000000,bottom
"D3","D","D_0805",-55.363877,-10.715562,90.000000,bottom
"D4","D","D_0805",-74.414125,-10.715634,90.000000,bottom
"D5","D","D_0805",-93.463909,-10.715562,90.000000,bottom
"D6","D","D_0805",-112.513925,-10.715562,90.000000,bottom
"D7","D","D_0805",-131.563941,-10.715562,90.000000,bottom
"D8","D","D_0805",-150.613957,-10.715562,90.000000,bottom
"D9","D","D_0805",-169.663973,-10.715562,90.000000,bottom
"D10","D","D_0805",-188.714221,-10.715562,90.000000,bottom
"D11","D","D_0805",-207.764005,-10.715562,90.000000,bottom
"D12","D","D_0805",-226.814021,-10.715562,90.000000,bottom
"D13","D","D_0805",-245.864037,-10.715562,90.000000,bottom
"D14","D","D_0805",-283.964069,-10.715562,90.000000,bottom
"D15","D","D_0805",-287.535947,-10.715562,90.000000,bottom
"D16","D","D_0805",-49.410979,-29.765578,90.000000,bottom
"D17","D","D_0805",-45.838869,-29.765578,90.000000,bottom
"D18","D","D_0805",-64.888885,-29.765578,90.000000,bottom
"D19","D","D_0805",-83.938901,-29.765578,90.000000,bottom
"D20","D","D_0805",-102.988917,-29.765578,90.000000,bottom
"D21","D","D_0805",-122.038933,-29.765578,90.000000,bottom
"D22","D","D_0805",-141.088949,-29.765578,90.000000,bottom
"D23","D","D_0805",-160.138965,-29.765578,90.000000,bottom
"D24","D","D_0805",-179.188981,-29.765578,90.000000,bottom
"D25","D","D_0805",-198.238997,-29.765578,90.000000,bottom
"D26","D","D_0805",-217.289013,-29.765578,90.000000,bottom
"D27","D","D_0805",-236.339029,-29.765578,90.000000,bottom
"D28","D","D_0805",-255.389277,-29.765650,90.000000,bottom
"D29","D","D_0805",-249.435915,-10.715562,90.000000,bottom
"D30","D","D_0805",-287.535947,-29.765578,90.000000,bottom
"D31","D","D_0805",-24.407833,-48.815666,90.000000,bottom
"D32","D","D_0805",-50.601373,-48.815594,90.000000,bottom
"D33","D","D_0805",-69.651389,-48.815594,90.000000,bottom
"D34","D","D_0805",-88.701405,-48.815594,90.000000,bottom
"D35","D","D_0805",-107.751421,-48.815594,90.000000,bottom
"D36","D","D_0805",-126.801669,-48.815594,90.000000,bottom
"D37","D","D_0805",-145.851453,-48.815594,90.000000,bottom
"D38","D","D_0805",-164.901469,-48.815594,90.000000,bottom
"D39","D","D_0805",-183.951485,-48.815594,90.000000,bottom
"D40","D","D_0805",-203.001501,-48.815594,90.000000,bottom
"D41","D","D_0805",-222.051517,-48.815594,90.000000,bottom
"D42","D","D_0805",-241.101533,-48.815594,90.000000,bottom
"D43","D","D_0805",-244.673411,-48.815594,90.000000,bottom
"D44","D","D_0805",-272.057809,-48.815594,90.000000,bottom
"D45","D","D_0805",-287.535947,-48.815594,90.000000,bottom
"D46","D","D_0805",-41.076365,-67.865610,90.000000,bottom
"D47","D","D_0805",-44.648243,-67.865610,90.000000,bottom
"D48","D","D_0805",-60.126381,-67.865610,90.000000,bottom
"D49","D","D_0805",-79.176397,-67.865610,90.000000,bottom
"D50","D","D_0805",-98.226413,-67.865610,90.000000,bottom
"D51","D","D_0805",-117.276661,-67.865610,90.000000,bottom
"D52","D","D_0805",-136.326445,-67.865610,90.000000,bottom
"D53","D","D_0805",-155.376461,-67.865610,90.000000,bottom
"D54","D","D_0805",-174.426477,-67.865610,90.000000,bottom
"D55","D","D_0805",-193.476493,-67.865610,90.000000,bottom
"D56","D","D_0805",-212.526509,-67.865610,90.000000,bottom
"D57","D","D_0805",-231.576525,-67.865610,90.000000,bottom
"D58","D","D_0805",-257.770529,-67.865682,90.000000,bottom
"D59","D","D_0805",-283.964069,-67.865610,90.000000,bottom
"D60","D","D_0805",-287.535947,-67.865610,90.000000,bottom
"D61","D","D_0805",-22.026349,-86.915626,90.000000,bottom
"D62","D","D_0805",-50.601605,-86.915626,90.000000,bottom
"D63","D","D_0805",-69.651389,-86.915626,90.000000,bottom
"D67","D","D_0805",-150.613957,-86.915626,90.000000,bottom
"D70","D","D_0805",-192.286099,-86.915698,90.000000,bottom
"D71","D","D_0805",-249.436147,-86.915698,90.000000,bottom
"D72","D","D_0805",-245.864269,-86.915698,90.000000,bottom
"D73","D","D_0805",-264.914053,-86.915626,90.000000,bottom
"D74","D","D_0805",-283.964069,-86.915626,90.000000,bottom
"D75","D","D_0805",-287.535947,-86.915626,90.000000,bottom
"F1","Polyfuse_Small","R_0805",-18.454703,-16.073451,90.000000,bottom
"G***","LOGO","oshw",-88.106324,-38.100032,180.000000,bottom
"G***","LOGO","logo_new",-74.414125,-38.100032,180.000000,bottom
"J2","ISP","CONN_isp_standard",-6.548443,-36.909406,180.000000,bottom
"J3","UDB","CONN_JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-33.337528,-19.050016,-90.000000,bottom
"R1","22","R_0805",-25.003146,-20.835955,-90.000000,bottom
"R2","22","R_0805",-22.621894,-20.835955,-90.000000,bottom
"R3","10k","R_0805",-27.979711,-25.598459,-90.000000,bottom
"R4","10k","R_0805",-39.290658,-54.768796,0.000000,bottom
"R5","470","R_0805",-21.431268,-51.792231,-90.000000,bottom
"R6","470","R_0805",-282.773675,-2.381252,90.000000,bottom
"RGB1","SK6812MINI-E","LED_SK6812MINI-E",-287.098000,3.025000,180.000000,bottom
"RGB2","SK6812MINI-E","LED_SK6812MINI-E",-297.098000,3.025000,180.000000,bottom
"SW1","SW_PUSH","SWITCH_SPST_TL3342",-14.882825,-35.718780,180.000000,bottom
"U1","ATmega32U4","MCU_ATMEGA32U4-AU",-30.360963,-38.695345,45.000000,bottom
"U2","USBLC6-2SC6","PACKAGE_SOT-23-6",-22.026581,-14.882825,90.000000,bottom
"X1","16mhz","XTAL_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",-41.076597,-32.742215,90.000000,bottom
